ID,Colour 1,Colour 2,Colour 3,Episode,Frame
conflict_palette_83,grey,grey,grey,Conflict,83
conflict_palette_84,grey,grey,black,Conflict,84
conflict_palette_85,black,grey,grey,Conflict,85
conflict_palette_86,grey,grey,grey,Conflict,86
conflict_palette_87,black,white,grey,Conflict,87
conflict_palette_88,white,black,grey,Conflict,88
conflict_palette_89,blue ,black,white,Conflict,89
conflict_palette_90,blue ,grey,grey,Conflict,90
conflict_palette_91,blue ,black,purple,Conflict,91
conflict_palette_92,blue ,purple,grey,Conflict,92
conflict_palette_93,grey,beige,green,Conflict,93
conflict_palette_94,grey,beige,green,Conflict,94
conflict_palette_95,grey,green,grey,Conflict,95
conflict_palette_96,grey,black,grey,Conflict,96
conflict_palette_97,yellow,black,yellow,Conflict,97
conflict_palette_98,pink,black,red,Conflict,98
conflict_palette_99,pink,black,maroon,Conflict,99
conflict_palette_100,pink,pink,maroon,Conflict,100
conflict_palette_101,white,black,grey,Conflict,101
conflict_palette_102,brown,black,grey,Conflict,102
conflict_palette_103,beige,black,grey,Conflict,103
conflict_palette_104,grey,grey,brown,Conflict,104
conflict_palette_105,blue ,grey,grey,Conflict,105
conflict_palette_106,grey,blue,beige,Conflict,106
conflict_palette_107,brown,beige,brown,Conflict,107
conflict_palette_108,brown,beige,brown,Conflict,108
conflict_palette_109,beige,brown,brown,Conflict,109
conflict_palette_110,green,green,blue,Conflict,110
conflict_palette_111,black,green,green,Conflict,111
conflict_palette_112,black,green,brown,Conflict,112
conflict_palette_113,green,green,green,Conflict,113
conflict_palette_114,blue ,blue,black,Conflict,114
conflict_palette_115,brown,brown,green,Conflict,115
conflict_palette_116,beige,brown,grey,Conflict,116
conflict_palette_117,beige,black,grey,Conflict,117
conflict_palette_118,grey,grey,grey,Conflict,118
conflict_palette_119,blue ,black,beige,Conflict,119
conflict_palette_120,black,brown,green,Conflict,120
conflict_palette_121,green,green,green,Conflict,121
conflict_palette_122,brown,green,green,Conflict,122
conflict_palette_123,brown,green,green,Conflict,123
conflict_palette_124,green,brown,pink,Conflict,124
conflict_palette_125,green,black,beige,Conflict,125
conflict_palette_126,brown,green,black,Conflict,126
conflict_palette_127,blue ,pink,green,Conflict,127
conflict_palette_128,green,pink,blue,Conflict,128
conflict_palette_129,grey,grey,grey,Conflict,129
coping_palette_0,black,black,black,Coping,0
coping_palette_1,brown,blue,black,Coping,1
coping_palette_2,green,grey,black,Coping,2
coping_palette_3,blue ,black,grey,Coping,3
coping_palette_4,blue ,grey,brown,Coping,4
coping_palette_5,blue ,brown,grey,Coping,5
coping_palette_6,green,black,green,Coping,6
coping_palette_7,black,green,green,Coping,7
coping_palette_8,black,white,grey,Coping,8
coping_palette_9,green,green,white,Coping,9
coping_palette_10,green,green,green,Coping,10
coping_palette_11,black,brown,beige,Coping,11
coping_palette_12,green,green,grey,Coping,12
coping_palette_13,green,green,grey,Coping,13
coping_palette_14,green ,green,grey,Coping,14
coping_palette_15,green,green,green,Coping,15
coping_palette_16,blue ,blue,blue,Coping,16
coping_palette_17,brown,brown,grey,Coping,17
coping_palette_18,brown,beige,brown,Coping,18
coping_palette_19,blue ,black,grey,Coping,19
coping_palette_20,blue ,green,brown,Coping,20
coping_palette_21,grey,maroon,blue,Coping,21
coping_palette_22,black,pink,red,Coping,22
coping_palette_23,black,brown,brown,Coping,23
coping_palette_24,brown,black,brown,Coping,24
coping_palette_25,black,pink,brown,Coping,25
coping_palette_26,black,grey,brown,Coping,26
coping_palette_27,black,grey,brown,Coping,27
coping_palette_28,black,green,brown,Coping,28
coping_palette_29,grey,black,brown,Coping,29
coping_palette_30,beige,black,grey,Coping,30
coping_palette_31,grey,black,beige,Coping,31
coping_palette_32,grey,black,grey,Coping,32
coping_palette_33,black,grey,brown,Coping,33
coping_palette_34,grey,black,brown,Coping,34
coping_palette_35,black,orange,brown,Coping,35
coping_palette_36,brown,black,brown,Coping,36
coping_palette_37,grey,black,grey,Coping,37
coping_palette_38,black,beige,brown,Coping,38
coping_palette_39,black,blue,grey,Coping,39
coping_palette_40,brown,brown,brown,Coping,40
coping_palette_41,blue ,blue,beige,Coping,41
coping_palette_42,beige,blue,blue,Coping,42
coping_palette_43,beige,blue,blue,Coping,43
coping_palette_44,blue ,green,blue,Coping,44
coping_palette_45,blue,green,blue,Coping,45
coping_palette_46,beige,blue,blue,Coping,46
coping_palette_47,blue,beige,blue,Coping,47
coping_palette_48,yellow,blue,green,Coping,48
coping_palette_49,blue,blue,green,Coping,49
coping_palette_50,green,blue,green,Coping,50
coping_palette_51,green,blue,brown,Coping,51
coping_palette_52,green,blue,black,Coping,52
coping_palette_53,brown,beige,brown,Coping,53
coping_palette_54,black,pink,brown,Coping,54
coping_palette_55,black,brown,brown,Coping,55
coping_palette_56,brown,brown,brown,Coping,56
coping_palette_57,black,brown,brown,Coping,57
coping_palette_58,grey,grey,grey,Coping,58
coping_palette_59,grey,grey,grey,Coping,59
coping_palette_60,grey,grey,grey,Coping,60
coping_palette_61,grey,grey,black,Coping,61
coping_palette_62,grey,grey,grey,Coping,62
coping_palette_63,grey,grey,grey,Coping,63
coping_palette_64,grey,grey,grey,Coping,64
coping_palette_65,grey,grey,grey,Coping,65
coping_palette_66,grey,grey,grey,Coping,66
coping_palette_67,grey,grey,black,Coping,67
coping_palette_68,black,grey,grey,Coping,68
coping_palette_69,grey,grey,black,Coping,69
coping_palette_70,grey,grey,black,Coping,70
coping_palette_71,brown,grey,black,Coping,71
coping_palette_72,grey,black,brown,Coping,72
coping_palette_73,grey,brown,black,Coping,73
coping_palette_74,brown,brown,grey,Coping,74
coping_palette_75,brown,grey,brown,Coping,75
coping_palette_76,grey,brown,brown,Coping,76
coping_palette_77,brown,grey,brown,Coping,77
coping_palette_78,grey,black,blue,Coping,78
coping_palette_79,grey,brown,grey,Coping,79
